election_id,slot,domain,incumbent_slot,organization_ratio,discourse_mass,discourse_strength,responsibility_score,target_outcome_used
pres_2002,A,economic,A,1.0,1.4610574257208286,0.7165855678532279,0.929146391963307,False
pres_2002,B,economic,A,1.0,1.4610574257208286,0.7165855678532279,-0.929146391963307,False
pres_2002,C,economic,A,0.5789473684210527,1.4610574257208286,0.7165855678532279,-0.5379268585050725,False
pres_2002,A,housing,A,1.0,0.0,0.0,0.75,False
pres_2002,B,housing,A,1.0,0.0,0.0,-0.75,False
pres_2002,C,housing,A,0.5789473684210527,0.0,0.0,-0.4342105263157895,False
pres_2007,A,economic,B,1.0,0.17754100388894956,0.16198875375237407,-0.7904971884380935,False
pres_2007,B,economic,B,1.0,0.17754100388894956,0.16198875375237407,0.7904971884380935,False
pres_2007,C,economic,B,0.15789473684210525,0.17754100388894956,0.16198875375237407,-0.12481534554285685,False
pres_2007,A,housing,B,1.0,0.8198099122739941,0.5361467089568726,-0.8840366772392181,False
pres_2007,B,housing,B,1.0,0.8198099122739941,0.5361467089568726,0.8840366772392181,False
pres_2007,C,housing,B,0.15789473684210525,0.8198099122739941,0.5361467089568726,-0.13958473851145548,False
pres_2012,A,economic,A,1.0,1.1898938702474386,0.6549127155576642,0.913728178889416,False
pres_2012,B,economic,A,1.0,1.1898938702474386,0.6549127155576642,-0.913728178889416,False
pres_2012,A,housing,A,1.0,0.18872652844255755,0.1711805415610148,0.7927951353902537,False
pres_2012,B,housing,A,1.0,0.18872652844255755,0.1711805415610148,-0.7927951353902537,False
pres_2017,A,economic,B,1.0,0.6437771398983633,0.45975196517214356,-0.864937991293036,False
pres_2017,B,economic,B,1.0,0.6437771398983633,0.45975196517214356,0.864937991293036,False
pres_2017,C,economic,B,0.631578947368421,0.6437771398983633,0.45975196517214356,-0.5462766260798122,False
pres_2017,A,housing,B,1.0,0.0,0.0,-0.75,False
pres_2017,B,housing,B,1.0,0.0,0.0,0.75,False
pres_2017,C,housing,B,0.631578947368421,0.0,0.0,-0.47368421052631576,False
pres_2022,A,economic,B,1.0,1.6417942056662231,0.7493444299418502,-0.9373361074854626,False
pres_2022,B,economic,B,1.0,1.6417942056662231,0.7493444299418502,0.9373361074854626,False
pres_2022,A,housing,B,1.0,0.9980037536863698,0.5993604992083896,-0.8998401248020974,False
pres_2022,B,housing,B,1.0,0.9980037536863698,0.5993604992083896,0.8998401248020974,False
