election_id,slot,housing_responsibility_score,available_date,source_note
pres_2002,A,0.75,2002-12-18,Automatic structural incumbent responsibility plus explicit government-target discourse evidence
pres_2002,B,-0.75,2002-12-18,Automatic structural incumbent responsibility plus explicit government-target discourse evidence
pres_2002,C,-0.4342105263157895,2002-12-18,Automatic structural incumbent responsibility plus explicit government-target discourse evidence
pres_2007,A,-0.8840366772392181,2007-12-18,Automatic structural incumbent responsibility plus explicit government-target discourse evidence
pres_2007,B,0.8840366772392181,2007-12-18,Automatic structural incumbent responsibility plus explicit government-target discourse evidence
pres_2007,C,-0.13958473851145548,2007-12-18,Automatic structural incumbent responsibility plus explicit government-target discourse evidence
pres_2012,A,0.7927951353902537,2012-12-18,Automatic structural incumbent responsibility plus explicit government-target discourse evidence
pres_2012,B,-0.7927951353902537,2012-12-18,Automatic structural incumbent responsibility plus explicit government-target discourse evidence
pres_2017,A,-0.75,2017-05-08,Automatic structural incumbent responsibility plus explicit government-target discourse evidence
pres_2017,B,0.75,2017-05-08,Automatic structural incumbent responsibility plus explicit government-target discourse evidence
pres_2017,C,-0.47368421052631576,2017-05-08,Automatic structural incumbent responsibility plus explicit government-target discourse evidence
pres_2022,A,-0.8998401248020974,2022-03-08,Automatic structural incumbent responsibility plus explicit government-target discourse evidence
pres_2022,B,0.8998401248020974,2022-03-08,Automatic structural incumbent responsibility plus explicit government-target discourse evidence
