path,bytes,sha256
data/candidate_issue_link.csv,21007,137d53f497a01bd5ca48b96c8a53e9bba9172cd9389f03a26a3c92ee80cd6dcd
data/config/active_presidential_model_v23.json,13037,295c7f78ed14548b6555f49db7a4afb39d2d1ec0e26a34d2927b01ef41cd2094
data/issue_salience_assembly.csv,85652,cba331c2ef50df0b3b4bb9f004e78037b66985b16f53fd0efe267bd8cd335bd3
data/raw/assembly15_candidate_legacy_landscape.csv,2541,a840bd520e39ecaedd193d39891a624c85f78312a7e1336ae697941e39686a17
data/raw/assembly_issue_character_overlay.csv,106114,561b36dc9ace5c445e64f9fc4f3f9f43971a23496f31a5d9ea24cdaf637b7316
data/raw/assembly_neutral_issue_context.csv,5257,d4d946d11b8bb24caf645a75bc98ce40e4bc2fa397b5ad4cf679ec3dc2975ddb
data/raw/auto_issue_seed/candidate_issue_profile.csv,90252,a0470144591a166d245a146c342fb1d0acf613ff6159cd29685ffb9cb32f67cf
data/raw/auto_issue_seed/mega_issue_attribution.csv,1376,0bfb96e6568a6a11d83275462b246881ae5fdbf07a25747fd18d928396cd71a8
data/raw/auto_issue_seed/mega_issue_axis.csv,4358,bd616a726150bb4871890bcfe4f31fe18ac0378c070bffb61056855b2cf43fd6
data/raw/candidate_generation_profile.csv,2228,655895ed7308fd8a5ac555afb830fc8ea5bd8ff5f674a12bad8978ac5d18c2f1
data/raw/candidate_party_tone_gap.csv,11335,b5fac796e925421fd41c1e3c28a30df14b658cf2fcd6e81cc3cb9a3b4e144a91
data/raw/candidate_political_landscape.csv,3452,4263c55e95b5e1b05c89bcad8a2e7b83e58171aaf11340e7049931add5fd6cc0
data/raw/candidate_public_treatment.csv,4773,11b48ad0aa54706aa1eb93fd427cd16e4c11ddb1d9be9a1b90275bcaaf766599
data/raw/candidate_regional_base.csv,1849,e5608d845dd632a06dd17b882efc114ade9d766ee8fbb106ad5783fc5f76ef8b
data/raw/candidate_vote_conversion_context.csv,4404,c2a9418929b0d61e5eabc2bdbd6868ce39fb8c384cab8db32ef8bf5ca5496a2a
data/raw/chungcheong_identity_alignment.csv,636,3c66fe5e3e89f551268768fab505771ea85ebd2ac8e5dcc08f55792a79db3081
data/raw/election_generation_weights.csv,625,d793a5abab283396a2a19ccf2255c9830371fd682bfc109e068a5c5d27e5e7c1
data/raw/issue_epoch_importance.csv,15962,fe63eeec8c929a5ff85d474f66151670fd0436d64d4dd4ab9aa65858a5389476
data/raw/issue_temporal_conversion.csv,20703,aa23a6fd6bfe803e41940b86bcdcda33ae66f2641514615a420dcd5857af63bd
data/raw/mega_issue_intensity.csv,591,ce132d918f11a9e045625ec4985745de50ee3c7fc48f0a11b1121cb79617199a
data/raw/mega_issue_taxonomy.csv,1316,d0a7dca5f35dc3f3593c4c107daa50d2cdfdf77f03f9103d0ebabc9040b0cc83
data/raw/regional_turnout_history.csv,129,56b4eeb2ba961bdc40eeeb1ab680dc415a9616ff7173ec44079170ea22da4892
data/raw/third_candidate_pressure.csv,930,b9f1490b861f852588e577f454e0d6ab486aaca9cc123817884450c08c16b43f
data/raw/third_candidate_profile.csv,727,684b04e9ab079f9d9c1dec8064104a2f3eaf7c1b0062175517b5615437675b51
data/raw/withdrawal_event_profiles.csv,805,5ce54e131b284a2b27b3b879d163b882f9b56c2752ad48fd41218fe0e84b22d6
