election_id,slot,candidate_name,candidate_role,conservative,liberal,progressive,centrist,anti_establishment,reform,regionalist,available_date,confidence,notes
pres_2002,A,노무현,final,0.36002100210021004,0.2916241624162416,0.22532753275327533,0.34788978897889783,0.20325532553255324,0.36965196519651966,0.12277727772777279,2002-12-18,0.6666444429628642,assembly_issue_link derived from National Assembly speech issue aggregates
pres_2002,B,이회창,final,0.3638608417474758,0.2924222733180046,0.22608717384784566,0.3470858742377287,0.20903229031290613,0.3741177646705988,0.13252024392682196,2002-12-18,0.6667333200026662,assembly_issue_link derived from National Assembly speech issue aggregates
pres_2007,A,이명박,final,0.32759,0.31201,0.254685,0.34786,0.216015,0.39709500000000003,0.11595499999999999,2007-12-18,0.6666666666666666,assembly_issue_link derived from National Assembly speech issue aggregates
pres_2007,B,정동영,final,0.335095,0.308265,0.252765,0.34914999999999996,0.195405,0.39793999999999996,0.096255,2007-12-18,0.6666666666666666,assembly_issue_link derived from National Assembly speech issue aggregates
pres_2007,C,이회창,final,0.48892110788921106,0.2323767623237676,0.16667833216678332,0.3036996300369963,0.1915108489151085,0.2805119488051195,0.03791120887911209,2007-12-18,0.6666888874075062,assembly_issue_link derived from National Assembly speech issue aggregates
pres_2012,A,박근혜,final,0.34347130573885226,0.31026294741051785,0.24936012797440513,0.345625874825035,0.17776944611077786,0.36746650669866027,0.1298840231953609,2012-12-18,0.6667111051859752,assembly_issue_link derived from National Assembly speech issue aggregates
pres_2012,B,문재인,final,0.326785,0.316005,0.26158,0.34578499999999995,0.20756,0.386155,0.10424,2012-12-18,0.6666666666666666,assembly_issue_link derived from National Assembly speech issue aggregates
pres_2012,C,Ahn Cheol-soo,withdrawn,0.2,0.35,0.1,0.9,0.7,0.8,0.05,2012-11-01,0.7,centrist anti-establishment reform candidate before withdrawal
pres_2017,A,문재인,final,0.34354435443544357,0.3166066606660666,0.23670867086708672,0.3438843884388439,0.20404540454045403,0.3703320332033203,0.07273227322732273,2017-05-08,0.6666444429628642,assembly_issue_link derived from National Assembly speech issue aggregates
pres_2017,B,홍준표,final,0.36573,0.311375,0.231745,0.344945,0.17217,0.35739,0.091015,2017-05-08,0.6666666666666666,assembly_issue_link derived from National Assembly speech issue aggregates
pres_2017,C,안철수,final,0.3678264347130574,0.30689862027594483,0.23146370725854828,0.34822035592881423,0.1825784843031394,0.36320735852829433,0.09568586282743453,2017-05-08,0.6667111051859752,assembly_issue_link derived from National Assembly speech issue aggregates
pres_2022,A,윤석열,final,0.32305769423057695,0.28441655834416557,0.19116088391160882,0.3403459654034596,0.30977402259774023,0.3744475552444756,0.07192280771922807,2022-03-08,0.6666888874075062,assembly_issue_link derived from National Assembly speech issue aggregates
pres_2022,B,이재명,final,0.33690630936906313,0.29545545445455457,0.1953854614538546,0.34954004599540045,0.25275472452754727,0.35085991400859917,0.07525247475252475,2022-03-08,0.6666888874075062,assembly_issue_link derived from National Assembly speech issue aggregates
pres_2022,C,Ahn Cheol-soo,withdrawn,0.35,0.2,0.05,0.88,0.65,0.75,0.05,2022-02-01,0.7,centrist reform candidate before unification with Yoon
