election_id,region_id,source_slot,target_slot,model_name,transfer_strength,transfer_rate,abstention_rate,utility_adjustment
pres_2022,sgg_001,C,A,balanced,0.2,0.5,0.25,0.1
pres_2022,sgg_001,C,C,balanced,0.2,0.5,0.25,-0.15000000000000002
pres_2022,sgg_001,C,alpha,balanced,0.2,0.5,0.25,0.05
pres_2022,sgg_001,C,A,issue_heavy,0.2,0.5,0.25,0.1
pres_2022,sgg_001,C,C,issue_heavy,0.2,0.5,0.25,-0.15000000000000002
pres_2022,sgg_001,C,alpha,issue_heavy,0.2,0.5,0.25,0.05
pres_2022,sgg_001,C,A,regional_heavy,0.2,0.5,0.25,0.1
pres_2022,sgg_001,C,C,regional_heavy,0.2,0.5,0.25,-0.15000000000000002
pres_2022,sgg_001,C,alpha,regional_heavy,0.2,0.5,0.25,0.05
pres_2022,sgg_002,C,A,balanced,0.2,0.5,0.25,0.1
pres_2022,sgg_002,C,C,balanced,0.2,0.5,0.25,-0.15000000000000002
pres_2022,sgg_002,C,alpha,balanced,0.2,0.5,0.25,0.05
pres_2022,sgg_002,C,A,issue_heavy,0.2,0.5,0.25,0.1
pres_2022,sgg_002,C,C,issue_heavy,0.2,0.5,0.25,-0.15000000000000002
pres_2022,sgg_002,C,alpha,issue_heavy,0.2,0.5,0.25,0.05
pres_2022,sgg_002,C,A,regional_heavy,0.2,0.5,0.25,0.1
pres_2022,sgg_002,C,C,regional_heavy,0.2,0.5,0.25,-0.15000000000000002
pres_2022,sgg_002,C,alpha,regional_heavy,0.2,0.5,0.25,0.05
pres_2022,sgg_002,C,B,balanced,0.1,0.3,0.1,0.03
pres_2022,sgg_002,C,C,balanced,0.1,0.3,0.1,-0.04000000000000001
pres_2022,sgg_002,C,alpha,balanced,0.1,0.3,0.1,0.010000000000000002
pres_2022,sgg_002,C,B,issue_heavy,0.1,0.3,0.1,0.03
pres_2022,sgg_002,C,C,issue_heavy,0.1,0.3,0.1,-0.04000000000000001
pres_2022,sgg_002,C,alpha,issue_heavy,0.1,0.3,0.1,0.010000000000000002
pres_2022,sgg_002,C,B,regional_heavy,0.1,0.3,0.1,0.03
pres_2022,sgg_002,C,C,regional_heavy,0.1,0.3,0.1,-0.04000000000000001
pres_2022,sgg_002,C,alpha,regional_heavy,0.1,0.3,0.1,0.010000000000000002
