election_id,mega_event,primary_issue,secondary_issue,axis_weight,regime_axis_weight,available_date,activation_method,notes
pres_2002,assembly_salience_economy_growth,economy_growth,,0.9844952641299718,0.1,2002-11-25,assembly_salience_character_v2,Automatic PIT axis from unsigned salience and issue-character evidence; top-two plus at most one high-evidence political shock; no outcome fields
pres_2002,assembly_salience_corruption_integrity,corruption_integrity,,0.9650395262066325,0.21320797808910893,2002-11-25,assembly_salience_character_v2,Automatic PIT axis from unsigned salience and issue-character evidence; top-two plus at most one high-evidence political shock; no outcome fields
pres_2002,assembly_salience_security_nk,security_nk,,0.9240924712078743,0.2140278181894737,2002-11-25,assembly_salience_character_v2,Automatic PIT axis from unsigned salience and issue-character evidence; top-two plus at most one high-evidence political shock; no outcome fields
pres_2007,assembly_salience_economy_growth,economy_growth,,0.9843084492089151,0.1,2007-12-18,assembly_salience_character_v2,Automatic PIT axis from unsigned salience and issue-character evidence; top-two plus at most one high-evidence political shock; no outcome fields
pres_2007,assembly_salience_corruption_integrity,corruption_integrity,,0.9787709831136109,0.21187254835714286,2007-12-18,assembly_salience_character_v2,Automatic PIT axis from unsigned salience and issue-character evidence; top-two plus at most one high-evidence political shock; no outcome fields
pres_2007,assembly_salience_security_nk,security_nk,,0.8811528169831433,0.21168690148351652,2007-12-18,assembly_salience_character_v2,Automatic PIT axis from unsigned salience and issue-character evidence; top-two plus at most one high-evidence political shock; no outcome fields
pres_2012,assembly_salience_economy_growth,economy_growth,,0.9832397599855279,0.1,2012-12-16,assembly_salience_character_v2,Automatic PIT axis from unsigned salience and issue-character evidence; top-two plus at most one high-evidence political shock; no outcome fields
pres_2012,assembly_salience_regional_dev,regional_dev,,0.9521263365569304,0.1,2012-12-16,assembly_salience_character_v2,Automatic PIT axis from unsigned salience and issue-character evidence; top-two plus at most one high-evidence political shock; no outcome fields
pres_2012,assembly_salience_corruption_integrity,corruption_integrity,,0.935118181843569,0.2120748855640244,2012-12-16,assembly_salience_character_v2,Automatic PIT axis from unsigned salience and issue-character evidence; top-two plus at most one high-evidence political shock; no outcome fields
pres_2017,assembly_salience_economy_growth,economy_growth,,0.9830733463020341,0.1,2017-04-16,assembly_salience_character_v2,Automatic PIT axis from unsigned salience and issue-character evidence; top-two plus at most one high-evidence political shock; no outcome fields
pres_2017,assembly_salience_education,education,,0.9595429886459057,0.1,2017-04-16,assembly_salience_character_v2,Automatic PIT axis from unsigned salience and issue-character evidence; top-two plus at most one high-evidence political shock; no outcome fields
pres_2017,assembly_salience_corruption_integrity,corruption_integrity,,0.9359853839638106,0.2122136871891892,2017-04-16,assembly_salience_character_v2,Automatic PIT axis from unsigned salience and issue-character evidence; top-two plus at most one high-evidence political shock; no outcome fields
pres_2022,assembly_salience_corruption_integrity,corruption_integrity,,0.9927884666180682,0.21178964123641308,2022-03-08,assembly_salience_character_v2,Automatic PIT axis from unsigned salience and issue-character evidence; top-two plus at most one high-evidence political shock; no outcome fields
pres_2022,assembly_salience_external_shock,external_shock,,0.897451138304912,0.2152800797666667,2022-03-06,assembly_salience_character_v2,Automatic PIT axis from unsigned salience and issue-character evidence; top-two plus at most one high-evidence political shock; no outcome fields
pres_2022,assembly_salience_security_nk,security_nk,,0.8864837179839183,0.21364233409859154,2022-03-06,assembly_salience_character_v2,Automatic PIT axis from unsigned salience and issue-character evidence; top-two plus at most one high-evidence political shock; no outcome fields
