variant,target_election,training_elections,predictors,predictor_count,preliminary_columns_enabled,target_excluded_from_fit,old_slot_predictors_used,consistent_scored_denominator,neutral_context_direct_adjustment,withdrawn_candidate_direct_adjustment,withdrawal_model_enabled,target_has_withdrawal_event,prior_withdrawal_elections,predictor_orthogonalization,raw_max_predictor_vif,standardized_coef_intercept,standardized_coef_issue_advantage,standardized_coef_rif,standardized_coef_partisan_prior,standardized_coef_landscape_bloc_alignment,standardized_coef_landscape_centrist,standardized_coef_landscape_inferred_prior,layer_config_ridge_alpha,layer_config_residual_enabled,layer_config_residual_scale,layer_config_residual_shrinkage,layer_config_neutral_context_scale,layer_config_overlay_gain,layer_config_conversion_scale,layer_config_district_terrain_scale,layer_config_within_bloc_transfer_scale,layer_config_within_bloc_reservoir_gain,layer_config_within_bloc_stronghold_gain,layer_config_regionalism_scale,layer_config_regional_anchor_strength,layer_config_third_competitiveness_gate_enabled,layer_config_third_character_multiplier_enabled,layer_config_manual_issue_seed_enabled,layer_config_automatic_issue_seed_enabled,candidate_stage
slot_free_hierarchy_no_neutral,pres_2002,pres_1997,issue_advantage|rif|partisan_prior|landscape_bloc_alignment|landscape_centrist|landscape_inferred_prior,6,False,True,False,True,False,True,False,True,0,,1.0,0.3333333333333333,0.0,0.0,0.19619362376109695,0.0,0.0,0.0,0.3,False,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False,False,False,True,strict_base
slot_free_hierarchy_no_neutral,pres_2007,pres_1997|pres_2002,issue_advantage|rif|partisan_prior|landscape_bloc_alignment|landscape_centrist|landscape_inferred_prior,6,False,True,False,True,False,True,False,False,1,,1.0067665544375772,0.33333333333333326,0.08531034242808921,0.08531034242808194,0.1811849373708373,-0.0644097009704464,0.09471453700364217,-0.012395867548189169,0.3,False,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False,False,False,True,strict_base
slot_free_hierarchy_no_neutral,pres_2012,pres_1997|pres_2002|pres_2007,issue_advantage|rif|partisan_prior|landscape_bloc_alignment|landscape_centrist|landscape_inferred_prior,6,False,True,False,True,False,True,False,False,1,,15.026158292307576,0.3333333333333339,0.07824192742495754,0.07824192742499904,0.18578835015396794,0.08981018681457026,-0.10484230856440475,0.014275880562702774,0.8,False,0.0,8.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.15,1.0,False,False,False,True,strict_base
slot_free_hierarchy_no_neutral,pres_2017,pres_1997|pres_2002|pres_2007|pres_2012,issue_advantage|rif|partisan_prior|landscape_bloc_alignment|landscape_centrist|landscape_inferred_prior,6,False,True,False,True,False,True,False,False,1,,13.835116897155375,0.38548057259713736,0.08516153983723186,0.08516153983720783,0.18967213647377607,0.07740519021748635,-0.13212477307006715,0.015864729850060554,1.2,False,0.0,8.0,0.0,0.0,0.0,0.0,0.5,1.0,0.1,0.15,1.0,False,False,False,True,strict_base
slot_free_hierarchy_no_neutral,pres_2022,pres_1997|pres_2002|pres_2007|pres_2012|pres_2017,issue_advantage|rif|partisan_prior|landscape_bloc_alignment|landscape_centrist|landscape_inferred_prior,6,False,True,False,True,False,True,False,False,1,,11.060956008923254,0.36760752688172,0.051490423110762594,0.05149042311077222,0.16551249883536676,-0.021185446579132412,0.017034088153705863,0.00831395151825491,1.2,False,0.0,8.0,0.0,0.0,0.0,0.0,0.5,1.0,0.25,0.15,1.0,True,True,False,True,strict_base
slot_free_hierarchy_no_neutral,pres_2002,pres_1997,issue_advantage|rif|partisan_prior|landscape_bloc_alignment|landscape_centrist|landscape_inferred_prior,6,False,True,False,True,False,True,False,True,0,,1.0,0.3333333333333333,0.0,0.0,0.19619362376109695,0.0,0.0,0.0,0.3,False,0.0,8.0,0.0,0.0,0.05,0.0,0.5,1.0,0.25,0.15,1.0,False,False,False,True,structural_stack
slot_free_hierarchy_no_neutral,pres_2007,pres_1997|pres_2002,issue_advantage|rif|partisan_prior|landscape_bloc_alignment|landscape_centrist|landscape_inferred_prior,6,False,True,False,True,False,True,False,False,1,,1.0067665544375772,0.33333333333333326,0.08531034242808921,0.08531034242808194,0.1811849373708373,-0.0644097009704464,0.09471453700364217,-0.012395867548189169,0.3,False,0.0,8.0,0.0,0.0,0.05,0.0,0.5,1.0,0.25,0.15,1.0,False,False,False,True,structural_stack
slot_free_hierarchy_no_neutral,pres_2012,pres_1997|pres_2002|pres_2007,issue_advantage|rif|partisan_prior|landscape_bloc_alignment|landscape_centrist|landscape_inferred_prior,6,False,True,False,True,False,True,False,False,1,,15.026158292307576,0.3333333333333339,0.07824192742495754,0.07824192742499904,0.18578835015396794,0.08981018681457026,-0.10484230856440475,0.014275880562702774,0.8,False,0.0,8.0,0.0,0.0,0.05,0.0,0.5,1.0,0.25,0.15,1.0,False,False,False,True,structural_stack
slot_free_hierarchy_no_neutral,pres_2017,pres_1997|pres_2002|pres_2007|pres_2012,issue_advantage|rif|partisan_prior|landscape_bloc_alignment|landscape_centrist|landscape_inferred_prior,6,False,True,False,True,False,True,False,False,1,,13.835116897155375,0.38548057259713736,0.08516153983723186,0.08516153983720783,0.18967213647377607,0.07740519021748635,-0.13212477307006715,0.015864729850060554,1.2,False,0.0,8.0,0.0,0.0,0.05,0.0,0.5,1.0,0.25,0.15,1.0,False,False,False,True,structural_stack
slot_free_hierarchy_no_neutral,pres_2022,pres_1997|pres_2002|pres_2007|pres_2012|pres_2017,issue_advantage|rif|partisan_prior|landscape_bloc_alignment|landscape_centrist|landscape_inferred_prior,6,False,True,False,True,False,True,False,False,1,,11.060956008923254,0.36760752688172,0.051490423110762594,0.05149042311077222,0.16551249883536676,-0.021185446579132412,0.017034088153705863,0.00831395151825491,1.2,False,0.0,8.0,0.0,0.0,0.05,0.0,0.5,1.0,0.25,0.15,1.0,True,True,False,True,structural_stack
