target_election_id,target_election_date,target_slot,target_candidate_name,target_party_name,person_key,birthday,source_sg_id,source_election_date,source_election_name,source_sg_typecode,source_candidate_id,source_region_name,source_district_name,source_municipality_name,source_party_name,source_status,source_job,source_career1,source_career2,source_is_prior,prior_election_won,available_date,entity_match_method,entity_match_confidence,source_url,source_record_sha256,derivation_version
pres_2002,2002-12-19,A,노무현,새천년민주당,f5f97af521222c55044a,19460806,19920324,1992-03-24,제14대 국회의원선거,2,10013327,부산직할시,동구,동구(부산),민주당,등록,국회의원,대전지법판사,변호사,True,N,1992-03-25,target_election_party_birthday,1.0,https://apis.data.go.kr/9760000/CndaSrchService/getCndaSrchInqire,82a48ac414c2ee3e4b751b9d0a2ac867f5853373c9448a4ee057593cd1f8f9e7,official_candidate_history_v1
pres_2002,2002-12-19,A,노무현,새천년민주당,f5f97af521222c55044a,19460806,19960411,1996-04-11,제15대 국회의원선거,2,10030172,서울특별시,종로구,종로구,통합민주당,등록,변호사,대전지법 판사,제13대 국회의원,True,N,1996-04-12,target_election_party_birthday,1.0,https://apis.data.go.kr/9760000/CndaSrchService/getCndaSrchInqire,34048c9e3bed9584c7362ee0ab262182c43fc0ed25393bcace854f6c6dd4d4b6,official_candidate_history_v1
pres_2002,2002-12-19,A,노무현,새천년민주당,f5f97af521222c55044a,19460806,20000413,2000-04-13,제16대 국회의원선거,2,10041594,부산광역시,북구·강서구을,강서구,새천년민주당,등록,국회의원,대전지방법원 판사,"제13,15대 국회의원",True,N,2000-04-14,target_election_party_birthday,1.0,https://apis.data.go.kr/9760000/CndaSrchService/getCndaSrchInqire,45bdb27426a935109564363979a9a439fee7336c00e378d0fd1911522f63a8db,official_candidate_history_v1
pres_2002,2002-12-19,A,노무현,새천년민주당,f5f97af521222c55044a,19460806,20021219,2002-12-19,제16대 대통령선거,1,10053300,전국,대한민국,,새천년민주당,등록,정당인,대전지방법원 판사,해양수산부 장관,False,,2002-12-20,target_election_party_birthday,1.0,https://apis.data.go.kr/9760000/CndaSrchService/getCndaSrchInqire,a1569c8350749f6156b83d825fad957e31597c9a4ec9f1dca9b15e42017ad515,official_candidate_history_v1
pres_2002,2002-12-19,B,이회창,한나라당,0d4cbb9b1133b0cf1d55,19350602,19971218,1997-12-18,제15대 대통령선거,1,10030921,전국,대한민국,,한나라당,등록,정치인,"제26대 국무총리, 제15대 감사원장",現 한나라당 명예총재,True,N,1997-12-19,target_election_party_birthday,1.0,https://apis.data.go.kr/9760000/CndaSrchService/getCndaSrchInqire,0c6fa3a44376a431213ab04b1f0a3d0b6e9ecb24625a2bde9cd9ab026aaa753d,official_candidate_history_v1
pres_2002,2002-12-19,B,이회창,한나라당,0d4cbb9b1133b0cf1d55,19350602,20000413,2000-04-13,제16대 국회의원선거,7,10042189,전국,비례대표,,한나라당,등록,국회의원,국무총리,대통령후보,True,Y,2000-04-14,target_election_party_birthday,1.0,https://apis.data.go.kr/9760000/CndaSrchService/getCndaSrchInqire,5badc3090803f8f1e7e7312f80bf17e09e1f9042cc1dd0c969449d10708adb24,official_candidate_history_v1
pres_2002,2002-12-19,B,이회창,한나라당,0d4cbb9b1133b0cf1d55,19350602,20021219,2002-12-19,제16대 대통령선거,1,10053297,전국,대한민국,,한나라당,등록,정치인,제15대·16대 국회의원,한나라당 총재,False,,2002-12-20,target_election_party_birthday,1.0,https://apis.data.go.kr/9760000/CndaSrchService/getCndaSrchInqire,17ef9653baa9b91ea221c265e13a9d90d4dd3793c7a446102e8f02b34d277f7f,official_candidate_history_v1
pres_2002,2002-12-19,B,이회창,한나라당,0d4cbb9b1133b0cf1d55,19350602,20071219,2007-12-19,제17대 대통령선거,1,10068301,전국,대한민국,,무소속,등록,정치인,국무총리,대법관,False,,2007-12-20,target_election_party_birthday,1.0,https://apis.data.go.kr/9760000/CndaSrchService/getCndaSrchInqire,1b5977cc38f35a32acbfe1df832a4b568719aac2e460845aceb69e895d2fd5b5,official_candidate_history_v1
pres_2002,2002-12-19,B,이회창,한나라당,0d4cbb9b1133b0cf1d55,19350602,20080409,2008-04-09,제18대 국회의원선거,2,100005186,충청남도,홍성군예산군,홍성군,자유선진당,등록,정당인,(전)국무총리,(현)자유선진당 총재,False,,2008-04-10,target_election_party_birthday,1.0,https://apis.data.go.kr/9760000/CndaSrchService/getCndaSrchInqire,5e3be49ab80f5e78ac8cd6c2f42a906f6c8d37a25700b701da239c3b131ede50,official_candidate_history_v1
pres_2002,2002-12-19,C,권영길,민주노동당,81fc034191d390a8ed60,19411105,19971218,1997-12-18,제15대 대통령선거,1,10030923,전국,대한민국,,건설국민승리21,등록,노동자,"경남중고,서울대학교,서울신문파리특파원","언론노련위원장,전국민주노총연맹위원장",True,N,1997-12-19,target_election_party_birthday,1.0,https://apis.data.go.kr/9760000/CndaSrchService/getCndaSrchInqire,158aad457c003139d385d0796d924bb6c52f474a97b532c3b797a45eea2faa87,official_candidate_history_v1
pres_2002,2002-12-19,C,권영길,민주노동당,81fc034191d390a8ed60,19411105,20000413,2000-04-13,제16대 국회의원선거,2,10041431,경상남도,창원시을,창원시,민주노동당,등록,정당인,민주노총초대위원장,민주노동당대표,True,N,2000-04-14,target_election_party_birthday,1.0,https://apis.data.go.kr/9760000/CndaSrchService/getCndaSrchInqire,fd3754e7c061649251ed7f0c583d4e7a9fe5183fde57b10e39fda0e4bc3ce568,official_candidate_history_v1
pres_2002,2002-12-19,C,권영길,민주노동당,81fc034191d390a8ed60,19411105,20021219,2002-12-19,제16대 대통령선거,1,10053299,전국,대한민국,,민주노동당,등록,정당인,민주노총 초대위원장,민주노동당 대표,False,,2002-12-20,target_election_party_birthday,1.0,https://apis.data.go.kr/9760000/CndaSrchService/getCndaSrchInqire,2016f90e259a8a1ff4e3c57fcd6f54290261d4284ccf2fca188c8911940a22b6,official_candidate_history_v1
pres_2002,2002-12-19,C,권영길,민주노동당,81fc034191d390a8ed60,19411105,20040415,2004-04-15,제17대 국회의원선거,2,10053529,경상남도,창원시을,창원시,민주노동당,등록,정당인,창원시 학교급식운동본부본부장,민주노동당 대표,False,,2004-04-16,target_election_party_birthday,1.0,https://apis.data.go.kr/9760000/CndaSrchService/getCndaSrchInqire,c95423b3028202c19ae05772674635ef10cc62e0d961f5023d8a4a906e95644b,official_candidate_history_v1
pres_2002,2002-12-19,C,권영길,민주노동당,81fc034191d390a8ed60,19411105,20071219,2007-12-19,제17대 대통령선거,1,10068298,전국,대한민국,,민주노동당,등록,국회의원,전 민주노동당 초대대표,현 17대 국회의원(창원을),False,,2007-12-20,target_election_party_birthday,1.0,https://apis.data.go.kr/9760000/CndaSrchService/getCndaSrchInqire,140a1f74e126f892da7428e762686ed7d6d1c38e23b0041a7effe25457dc3660,official_candidate_history_v1
