election_id,candidate_id,candidate_name,party_name,issue_name,mentions,emphasis_volume,emphasis_within,signed_weight,absolute_directional_weight,directional_balance,available_date,linkage_basis
pres_2025,pres_2025_kim_moonsu,김문수,국민의힘,candidate_competence,35.875,0.0623356359147092,0.023589111783087407,0.0,0.0,0.0,2025-05-20,registered_candidate_party|registered_candidate_person
pres_2025,pres_2025_kim_moonsu,김문수,국민의힘,corruption_integrity,266.34225,0.46279062089768513,0.17512967547899683,0.98625,0.98625,1.0,2025-05-20,registered_candidate_party|registered_candidate_person
pres_2025,pres_2025_kim_moonsu,김문수,국민의힘,economy_growth,36.525,0.06346506207065515,0.02401651032410502,0.0,0.0,0.0,2025-05-20,registered_candidate_party|registered_candidate_person
pres_2025,pres_2025_kim_moonsu,김문수,국민의힘,education,52.45,0.09113600289133095,0.034487774579036505,0.0,0.0,0.0,2025-05-20,registered_candidate_party|registered_candidate_person
pres_2025,pres_2025_kim_moonsu,김문수,국민의힘,endorsement_event,46.55,0.08088428855274461,0.03060831089903049,0.84,1.295,0.6486486486486487,2025-05-20,registered_candidate_party|registered_candidate_person
pres_2025,pres_2025_kim_moonsu,김문수,국민의힘,external_shock,255.35150000000007,0.44369332778466536,0.1679028593025518,-2.3595,2.3595,-1.0,2025-05-20,registered_candidate_party|registered_candidate_person
pres_2025,pres_2025_kim_moonsu,김문수,국민의힘,family_legal_risk,39.05,0.06785244829182979,0.0256767892719042,0.0,0.0,0.0,2025-05-20,registered_candidate_party|registered_candidate_person
pres_2025,pres_2025_kim_moonsu,김문수,국민의힘,foreign_policy,34.55,0.06003334413528091,0.022717876295628426,0.0,0.0,0.0,2025-05-20,registered_candidate_party|registered_candidate_person
pres_2025,pres_2025_kim_moonsu,김문수,국민의힘,gaffe_event,48.4,0.08409880915043694,0.0318247529003883,0.0,0.0,0.0,2025-05-20,registered_candidate_party|registered_candidate_person
pres_2025,pres_2025_kim_moonsu,김문수,국민의힘,gender_generation,44.975,0.0781476020979525,0.02957269135733397,0.0,0.0,0.0,2025-05-20,registered_candidate_party|registered_candidate_person
pres_2025,pres_2025_kim_moonsu,김문수,국민의힘,housing,22.26375,0.03868501781452563,0.014639221950124385,0.0,0.0,0.0,2025-05-20,registered_candidate_party|registered_candidate_person
pres_2025,pres_2025_kim_moonsu,김문수,국민의힘,inflation_livelihood,44.775,0.07780008635766145,0.029441184113943933,-0.25025000000000003,0.25025000000000003,-1.0,2025-05-20,registered_candidate_party|registered_candidate_person
pres_2025,pres_2025_kim_moonsu,김문수,국민의힘,jobs_labor,112.87499999999999,0.19612919592676795,0.07421940048825061,0.4375,0.8925,0.4901960784313726,2025-05-20,registered_candidate_party|registered_candidate_person
pres_2025,pres_2025_kim_moonsu,김문수,국민의힘,regime_change,294.19627600000007,0.5111891832250677,0.1934447063618686,-1.6592125000000002,2.4354625,-0.6812720376519862,2025-05-20,registered_candidate_party|registered_candidate_person
pres_2025,pres_2025_kim_moonsu,김문수,국민의힘,regional_dev,64.325,0.11176974997111273,0.04229601715531979,0.21,0.21,1.0,2025-05-20,registered_candidate_party|registered_candidate_person
pres_2025,pres_2025_kim_moonsu,김문수,국민의힘,security_nk,41.425,0.07197919770778616,0.027238437787160858,-0.65,0.65,-1.0,2025-05-20,registered_candidate_party|registered_candidate_person
pres_2025,pres_2025_kim_moonsu,김문수,국민의힘,unification_event,5.25,0.00912228818264037,0.003452065138988401,0.0,0.0,0.0,2025-05-20,registered_candidate_party
pres_2025,pres_2025_kim_moonsu,김문수,국민의힘,welfare_pension,57.6,0.10008453320382578,0.03787408609632989,0.21,0.21,1.0,2025-05-20,registered_candidate_party|registered_candidate_person
pres_2025,pres_2025_kim_moonsu,김문수,국민의힘,withdrawal_event,18.05,0.03136329556126832,0.011868528715950599,-3.4937500000000004,3.4937500000000004,-1.0,2025-05-20,registered_candidate_party|registered_candidate_person
pres_2025,pres_2025_kwon_youngguk,권영국,민주노동당,education,0.35,0.000608152545509358,0.07142857142857144,0.0,0.0,0.0,2025-05-20,registered_candidate_party
pres_2025,pres_2025_kwon_youngguk,권영국,민주노동당,jobs_labor,4.55,0.007905983091621655,0.9285714285714286,0.0,0.0,0.0,2025-05-20,registered_candidate_party
pres_2025,pres_2025_lee_jaemyung,이재명,더불어민주당,candidate_competence,21.425,0.03722762367867999,0.015133457551013219,0.0,0.0,0.0,2025-05-20,registered_candidate_party|registered_candidate_person
pres_2025,pres_2025_lee_jaemyung,이재명,더불어민주당,corruption_integrity,575.5135000000001,1.0,0.40651151095846194,-0.9733749999999999,1.496625,-0.6503800217155264,2025-05-20,registered_candidate_party|registered_candidate_person
pres_2025,pres_2025_lee_jaemyung,이재명,더불어민주당,economy_growth,40.165,0.06978984854395247,0.028370376781164334,0.0,0.0,0.0,2025-05-20,registered_candidate_party|registered_candidate_person
pres_2025,pres_2025_lee_jaemyung,이재명,더불어민주당,education,28.95,0.050302903407131186,0.020448709269630463,0.0,0.0,0.0,2025-05-20,registered_candidate_party|registered_candidate_person
pres_2025,pres_2025_lee_jaemyung,이재명,더불어민주당,endorsement_event,60.25,0.10468911676268235,0.042557331036104845,1.275,1.275,1.0,2025-05-20,registered_candidate_party|registered_candidate_person
pres_2025,pres_2025_lee_jaemyung,이재명,더불어민주당,external_shock,81.669,0.1419063149691536,0.05768655051265804,0.21,0.21,1.0,2025-05-20,registered_candidate_party|registered_candidate_person
pres_2025,pres_2025_lee_jaemyung,이재명,더불어민주당,family_legal_risk,61.074999999999996,0.10612261919138297,0.04314006627435856,-0.7150000000000001,1.6900000000000002,-0.4230769230769231,2025-05-20,registered_candidate_party|registered_candidate_person
pres_2025,pres_2025_lee_jaemyung,이재명,더불어민주당,foreign_policy,19.125,0.033231192665332775,0.013508862341336187,0.0,0.0,0.0,2025-05-20,registered_candidate_party|registered_candidate_person
pres_2025,pres_2025_lee_jaemyung,이재명,더불어민주당,gaffe_event,21.375,0.03714074474360722,0.015098140263846326,0.48750000000000004,0.48750000000000004,1.0,2025-05-20,registered_candidate_party|registered_candidate_person
pres_2025,pres_2025_lee_jaemyung,이재명,더불어민주당,gender_generation,8.5,0.014769418962370124,0.006003938818371638,0.0,0.0,0.0,2025-05-20,registered_candidate_party|registered_candidate_person
pres_2025,pres_2025_lee_jaemyung,이재명,더불어민주당,housing,34.8425,0.060541585905456594,0.024610851562248685,0.0,0.0,0.0,2025-05-20,registered_candidate_party|registered_candidate_person
pres_2025,pres_2025_lee_jaemyung,이재명,더불어민주당,inflation_livelihood,57.654999999999994,0.10018010003240581,0.04072436383214315,0.0,0.0,0.0,2025-05-20,registered_candidate_party|registered_candidate_person
pres_2025,pres_2025_lee_jaemyung,이재명,더불어민주당,jobs_labor,29.875,0.05191016370597735,0.021102079082217964,0.0,0.0,0.0,2025-05-20,registered_candidate_party|registered_candidate_person
pres_2025,pres_2025_lee_jaemyung,이재명,더불어민주당,regime_change,159.017278,0.27630503541619783,0.11232117743246993,-0.015437499999999965,0.7320625,-0.021087680355160888,2025-05-20,registered_candidate_party|registered_candidate_person
pres_2025,pres_2025_lee_jaemyung,이재명,더불어민주당,regional_dev,66.45,0.11546210471170526,0.046936674644799455,-0.22749999999999998,0.22749999999999998,-1.0,2025-05-20,registered_candidate_party|registered_candidate_person
