election_id,assembly_daesu,period,issue_name,target_type,target_name,target_model_eligible,stance_label,sentence_count,weighted_mentions,signed_weight,absolute_directional_weight,directional_balance,first_observed_date,last_observed_date,available_date,source,candidate_id,candidate_name,candidate_party_name,candidate_ballot_number,candidate_registry_available_date,candidate_link_eligible,candidate_linkage_basis,source_target_type,source_target_name,source_observed_available_date
pres_2025,21,2022-03-21,family_legal_risk,party,국민의힘,False,neutral,1,0.35,0.0,0.0,0.0,2022-03-24,2022-03-24,2025-05-20,assembly_stance_full_corpus_v1,pres_2025_kim_moonsu,김문수,국민의힘,2,2025-05-20,True,registered_candidate_party,party,국민의힘,2022-03-24
pres_2025,21,2022-03-28,foreign_policy,party,국민의힘,False,neutral,2,0.7,0.0,0.0,0.0,2022-03-28,2022-03-28,2025-05-20,assembly_stance_full_corpus_v1,pres_2025_kim_moonsu,김문수,국민의힘,2,2025-05-20,True,registered_candidate_party,party,국민의힘,2022-03-28
pres_2025,21,2022-03-28,security_nk,party,국민의힘,False,neutral,1,0.35,0.0,0.0,0.0,2022-03-28,2022-03-28,2025-05-20,assembly_stance_full_corpus_v1,pres_2025_kim_moonsu,김문수,국민의힘,2,2025-05-20,True,registered_candidate_party,party,국민의힘,2022-03-28
pres_2025,21,2022-03-28,welfare_pension,party,더불어민주당,False,neutral,1,0.35,0.0,0.0,0.0,2022-03-29,2022-03-29,2025-05-20,assembly_stance_full_corpus_v1,pres_2025_lee_jaemyung,이재명,더불어민주당,1,2025-05-20,True,registered_candidate_party,party,더불어민주당,2022-03-29
pres_2025,21,2022-03-28,withdrawal_event,party,국민의힘,False,neutral,1,0.35,0.0,0.0,0.0,2022-03-30,2022-03-30,2025-05-20,assembly_stance_full_corpus_v1,pres_2025_kim_moonsu,김문수,국민의힘,2,2025-05-20,True,registered_candidate_party,party,국민의힘,2022-03-30
pres_2025,21,2022-04-04,gaffe_event,party,국민의힘,False,neutral,1,0.75,0.0,0.0,0.0,2022-04-07,2022-04-07,2025-05-20,assembly_stance_full_corpus_v1,pres_2025_kim_moonsu,김문수,국민의힘,2,2025-05-20,True,registered_candidate_party,party,국민의힘,2022-04-07
pres_2025,21,2022-04-04,unification_event,party,국민의힘,False,neutral,1,0.35,0.0,0.0,0.0,2022-04-07,2022-04-07,2025-05-20,assembly_stance_full_corpus_v1,pres_2025_kim_moonsu,김문수,국민의힘,2,2025-05-20,True,registered_candidate_party,party,국민의힘,2022-04-07
pres_2025,21,2022-04-11,corruption_integrity,person,이재명,False,neutral,1,0.42,0.0,0.0,0.0,2022-04-14,2022-04-14,2025-05-20,assembly_stance_full_corpus_v1,pres_2025_lee_jaemyung,이재명,더불어민주당,1,2025-05-20,True,registered_candidate_person,person,이재명,2022-04-14
pres_2025,21,2022-04-11,regime_change,person,이재명,False,neutral,1,0.231,0.0,0.0,0.0,2022-04-14,2022-04-14,2025-05-20,assembly_stance_full_corpus_v1,pres_2025_lee_jaemyung,이재명,더불어민주당,1,2025-05-20,True,registered_candidate_person,person,이재명,2022-04-14
pres_2025,21,2022-04-11,regional_dev,party,국민의힘,False,neutral,2,2.0,0.0,0.0,0.0,2022-04-15,2022-04-15,2025-05-20,assembly_stance_full_corpus_v1,pres_2025_kim_moonsu,김문수,국민의힘,2,2025-05-20,True,registered_candidate_party,party,국민의힘,2022-04-15
pres_2025,21,2022-04-11,regional_dev,party,더불어민주당,False,neutral,1,0.35,0.0,0.0,0.0,2022-04-14,2022-04-14,2025-05-20,assembly_stance_full_corpus_v1,pres_2025_lee_jaemyung,이재명,더불어민주당,1,2025-05-20,True,registered_candidate_party,party,더불어민주당,2022-04-14
pres_2025,21,2022-04-18,corruption_integrity,party,국민의힘,False,neutral,1,0.35,0.0,0.0,0.0,2022-04-20,2022-04-20,2025-05-20,assembly_stance_full_corpus_v1,pres_2025_kim_moonsu,김문수,국민의힘,2,2025-05-20,True,registered_candidate_party,party,국민의힘,2022-04-20
pres_2025,21,2022-04-18,jobs_labor,party,국민의힘,False,neutral,1,1.0,0.0,0.0,0.0,2022-04-19,2022-04-19,2025-05-20,assembly_stance_full_corpus_v1,pres_2025_kim_moonsu,김문수,국민의힘,2,2025-05-20,True,registered_candidate_party,party,국민의힘,2022-04-19
