variant,target_election,training_elections,predictors,predictor_count,preliminary_columns_enabled,target_excluded_from_fit,old_slot_predictors_used,consistent_scored_denominator,neutral_context_direct_adjustment,withdrawn_candidate_direct_adjustment,withdrawal_model_enabled,target_has_withdrawal_event,prior_withdrawal_elections,predictor_orthogonalization,raw_max_predictor_vif,standardized_coef_intercept,standardized_coef_issue_advantage,standardized_coef_rif,standardized_coef_partisan_prior,standardized_coef_landscape_bloc_alignment,standardized_coef_landscape_centrist,standardized_coef_landscape_inferred_prior,layer_config_ridge_alpha,layer_config_residual_enabled,layer_config_residual_scale,layer_config_residual_shrinkage,layer_config_neutral_context_scale,layer_config_overlay_gain,layer_config_conversion_scale,layer_config_district_terrain_scale,layer_config_within_bloc_transfer_scale,layer_config_within_bloc_reservoir_gain,layer_config_within_bloc_stronghold_gain,layer_config_regionalism_scale,layer_config_regional_anchor_strength,layer_config_third_competitiveness_gate_enabled,layer_config_third_character_multiplier_enabled,layer_config_manual_issue_seed_enabled,layer_config_automatic_issue_seed_enabled,candidate_stage
slot_free_hierarchy_no_neutral,pres_2002,pres_1997,issue_advantage|rif|partisan_prior|landscape_bloc_alignment|landscape_centrist|landscape_inferred_prior,6,False,True,False,True,False,True,False,True,0,,1.0,0.3333333333333333,0.0,0.0,0.19619362376109695,0.0,0.0,0.0,0.3,False,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False,False,False,True,strict_base
slot_free_hierarchy_no_neutral,pres_2007,pres_1997|pres_2002,issue_advantage|rif|partisan_prior|landscape_bloc_alignment|landscape_centrist|landscape_inferred_prior,6,False,True,False,True,False,True,False,False,1,,1.0067665544375772,0.3333333333333333,0.08532709243008234,0.08532709243008942,0.1811844827293213,-0.06412329324360345,0.09441324145049994,-0.012395854905398861,0.3,False,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False,False,False,True,strict_base
slot_free_hierarchy_no_neutral,pres_2012,pres_1997|pres_2002|pres_2007,issue_advantage|rif|partisan_prior|landscape_bloc_alignment|landscape_centrist|landscape_inferred_prior,6,False,True,False,True,False,True,False,False,1,,15.039016993909451,0.33333333333333387,0.07827206336901628,0.07827206336902225,0.1857850570827144,0.09005443849254705,-0.10513530903210615,0.014275031333055233,0.8,False,0.0,8.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.15,1.0,False,False,False,True,strict_base
slot_free_hierarchy_no_neutral,pres_2017,pres_1997|pres_2002|pres_2007|pres_2012,issue_advantage|rif|partisan_prior|landscape_bloc_alignment|landscape_centrist|landscape_inferred_prior,6,False,True,False,True,False,True,False,False,1,,13.84228116268425,0.3854805725971374,0.08519004820693331,0.08519004820692738,0.18966943475711767,0.07765080524632391,-0.13244138310990572,0.015864825410364995,1.2,False,0.0,8.0,0.0,0.0,0.0,0.0,0.5,1.0,0.1,0.15,1.0,False,False,False,True,strict_base
slot_free_hierarchy_no_neutral,pres_2022,pres_1997|pres_2002|pres_2007|pres_2012|pres_2017,issue_advantage|rif|partisan_prior|landscape_bloc_alignment|landscape_centrist|landscape_inferred_prior,6,False,True,False,True,False,True,False,False,1,,11.063613859103196,0.36760752688171994,0.051501751692513635,0.051501751692522996,0.16551127643430322,-0.02107616963495754,0.016879316601577876,0.008314341749017908,1.2,False,0.0,8.0,0.0,0.0,0.0,0.0,0.5,1.0,0.25,0.15,1.0,True,True,False,True,strict_base
slot_free_hierarchy_no_neutral,pres_2002,pres_1997,issue_advantage|rif|partisan_prior|landscape_bloc_alignment|landscape_centrist|landscape_inferred_prior,6,False,True,False,True,False,True,False,True,0,,1.0,0.3333333333333333,0.0,0.0,0.19619362376109695,0.0,0.0,0.0,0.3,False,0.0,8.0,0.0,0.0,0.05,0.0,0.5,1.0,0.25,0.15,1.0,False,False,False,True,structural_stack
slot_free_hierarchy_no_neutral,pres_2007,pres_1997|pres_2002,issue_advantage|rif|partisan_prior|landscape_bloc_alignment|landscape_centrist|landscape_inferred_prior,6,False,True,False,True,False,True,False,False,1,,1.0067665544375772,0.3333333333333333,0.08532709243008234,0.08532709243008942,0.1811844827293213,-0.06412329324360345,0.09441324145049994,-0.012395854905398861,0.3,False,0.0,8.0,0.0,0.0,0.05,0.0,0.5,1.0,0.25,0.15,1.0,False,False,False,True,structural_stack
slot_free_hierarchy_no_neutral,pres_2012,pres_1997|pres_2002|pres_2007,issue_advantage|rif|partisan_prior|landscape_bloc_alignment|landscape_centrist|landscape_inferred_prior,6,False,True,False,True,False,True,False,False,1,,15.039016993909451,0.33333333333333387,0.07827206336901628,0.07827206336902225,0.1857850570827144,0.09005443849254705,-0.10513530903210615,0.014275031333055233,0.8,False,0.0,8.0,0.0,0.0,0.05,0.0,0.5,1.0,0.25,0.15,1.0,False,False,False,True,structural_stack
slot_free_hierarchy_no_neutral,pres_2017,pres_1997|pres_2002|pres_2007|pres_2012,issue_advantage|rif|partisan_prior|landscape_bloc_alignment|landscape_centrist|landscape_inferred_prior,6,False,True,False,True,False,True,False,False,1,,13.84228116268425,0.3854805725971374,0.08519004820693331,0.08519004820692738,0.18966943475711767,0.07765080524632391,-0.13244138310990572,0.015864825410364995,1.2,False,0.0,8.0,0.0,0.0,0.05,0.0,0.5,1.0,0.25,0.15,1.0,False,False,False,True,structural_stack
slot_free_hierarchy_no_neutral,pres_2022,pres_1997|pres_2002|pres_2007|pres_2012|pres_2017,issue_advantage|rif|partisan_prior|landscape_bloc_alignment|landscape_centrist|landscape_inferred_prior,6,False,True,False,True,False,True,False,False,1,,11.063613859103196,0.36760752688171994,0.051501751692513635,0.051501751692522996,0.16551127643430322,-0.02107616963495754,0.016879316601577876,0.008314341749017908,1.2,False,0.0,8.0,0.0,0.0,0.05,0.0,0.5,1.0,0.25,0.15,1.0,True,True,False,True,structural_stack
