selection_label,tuning_elections,step,ridge_alpha,residual_enabled,residual_scale,residual_shrinkage,neutral_context_scale,overlay_gain,conversion_scale,district_terrain_scale,within_bloc_transfer_scale,within_bloc_reservoir_gain,within_bloc_stronghold_gain,regionalism_scale,regional_anchor_strength,third_competitiveness_gate_enabled,third_character_multiplier_enabled,manual_issue_seed_enabled,automatic_issue_seed_enabled,rolling_row_mae_pp,current_before_step_mae_pp,required_improvement_pp,selection_eligible,effective_activation_elections
outer_pres_2012,pres_2002|pres_2007,ridge_alpha,0.05,False,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False,False,False,True,5.439786425076301,5.027219289521612,0.1,True,
outer_pres_2012,pres_2002|pres_2007,ridge_alpha,0.1,False,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False,False,False,True,5.30969218649558,5.027219289521612,0.1,True,
outer_pres_2012,pres_2002|pres_2007,ridge_alpha,0.2,False,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False,False,False,True,5.13439286490509,5.027219289521612,0.1,True,
outer_pres_2012,pres_2002|pres_2007,ridge_alpha,0.3,False,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False,False,False,True,5.027219289521612,5.027219289521612,0.1,True,
outer_pres_2012,pres_2002|pres_2007,ridge_alpha,0.5,False,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False,False,False,True,4.914758472876003,5.027219289521612,0.1,True,
outer_pres_2012,pres_2002|pres_2007,ridge_alpha,0.8,False,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False,False,False,True,4.842764636504641,5.027219289521612,0.1,True,
outer_pres_2012,pres_2002|pres_2007,ridge_alpha,1.2,False,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False,False,False,True,4.843348895265069,5.027219289521612,0.1,True,
outer_pres_2012,pres_2002|pres_2007,residual,0.8,False,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False,False,False,True,4.842764636504641,4.842764636504641,0.1,True,
outer_pres_2012,pres_2002|pres_2007,residual,0.8,True,0.5,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False,False,False,True,4.84182009638158,4.842764636504641,0.1,True,
outer_pres_2012,pres_2002|pres_2007,residual,0.8,True,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False,False,False,True,4.752561075142376,4.842764636504641,0.1,True,
outer_pres_2012,pres_2002|pres_2007,residual,0.8,True,1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False,False,False,True,4.773421874523488,4.842764636504641,0.1,True,
outer_pres_2012,pres_2002|pres_2007,residual,0.8,True,1.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False,False,False,True,4.836422210078155,4.842764636504641,0.1,True,
outer_pres_2012,pres_2002|pres_2007,neutral_context,0.8,False,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False,False,False,True,4.842764636504641,4.842764636504641,0.1,True,
outer_pres_2012,pres_2002|pres_2007,neutral_context,0.8,False,0.0,8.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False,False,False,True,4.821279972961084,4.842764636504641,0.1,True,
outer_pres_2012,pres_2002|pres_2007,neutral_context,0.8,False,0.0,8.0,0.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False,False,False,True,4.890666462919151,4.842764636504641,0.1,True,
outer_pres_2012,pres_2002|pres_2007,neutral_context,0.8,False,0.0,8.0,0.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False,False,False,True,5.030229820831962,4.842764636504641,0.1,True,
outer_pres_2012,pres_2002|pres_2007,neutral_context,0.8,False,0.0,8.0,0.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False,False,False,True,5.2273538942527775,4.842764636504641,0.1,True,
outer_pres_2012,pres_2002|pres_2007,overlay,0.8,False,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False,False,False,True,4.842764636504641,4.842764636504641,0.1,True,
outer_pres_2012,pres_2002|pres_2007,overlay,0.8,False,0.0,8.0,0.0,0.08,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False,False,False,True,4.81487775371352,4.842764636504641,0.1,True,
outer_pres_2012,pres_2002|pres_2007,overlay,0.8,False,0.0,8.0,0.0,0.12,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False,False,False,True,4.813789581893467,4.842764636504641,0.1,True,
outer_pres_2012,pres_2002|pres_2007,overlay,0.8,False,0.0,8.0,0.0,0.16,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False,False,False,True,4.812704758247378,4.842764636504641,0.1,True,
outer_pres_2012,pres_2002|pres_2007,overlay,0.8,False,0.0,8.0,0.0,0.24,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False,False,False,True,4.810545053115597,4.842764636504641,0.1,True,
outer_pres_2012,pres_2002|pres_2007,overlay,0.8,False,0.0,8.0,0.0,0.32,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False,False,False,True,4.808398436398324,4.842764636504641,0.1,True,
outer_pres_2012,pres_2002|pres_2007,conversion,0.8,False,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False,False,False,True,4.842764636504641,4.842764636504641,0.1,True,
