election_id,slot,include_in_scored_contest,available_date,source_type,notes
pres_2002,A,True,2002-12-18,contest_scope,"V24 declared floor: national vote share >= 1.0%p (uniform rule, replaces per-election exclusions)"
pres_2002,B,True,2002-12-18,contest_scope,"V24 declared floor: national vote share >= 1.0%p (uniform rule, replaces per-election exclusions)"
pres_2002,C,True,2002-12-18,contest_scope,"V24 declared floor: national vote share >= 1.0%p (uniform rule, replaces per-election exclusions)"
pres_2007,A,True,2007-12-18,contest_scope,"V24 declared floor: national vote share >= 1.0%p (uniform rule, replaces per-election exclusions)"
pres_2007,B,True,2007-12-18,contest_scope,"V24 declared floor: national vote share >= 1.0%p (uniform rule, replaces per-election exclusions)"
pres_2007,C,True,2007-12-18,contest_scope,"V24 declared floor: national vote share >= 1.0%p (uniform rule, replaces per-election exclusions)"
pres_2012,A,True,2012-12-18,contest_scope,"V24 declared floor: national vote share >= 1.0%p (uniform rule, replaces per-election exclusions)"
pres_2012,B,True,2012-12-18,contest_scope,"V24 declared floor: national vote share >= 1.0%p (uniform rule, replaces per-election exclusions)"
pres_2012,C,False,2012-12-18,contest_scope,"V24 declared floor: national vote share >= 1.0%p (uniform rule, replaces per-election exclusions)"
pres_2017,A,True,2017-05-08,contest_scope,"V24 declared floor: national vote share >= 1.0%p (uniform rule, replaces per-election exclusions)"
pres_2017,B,True,2017-05-08,contest_scope,"V24 declared floor: national vote share >= 1.0%p (uniform rule, replaces per-election exclusions)"
pres_2017,C,True,2017-05-08,contest_scope,"V24 declared floor: national vote share >= 1.0%p (uniform rule, replaces per-election exclusions)"
pres_2022,A,True,2022-03-08,contest_scope,"V24 declared floor: national vote share >= 1.0%p (uniform rule, replaces per-election exclusions)"
pres_2022,B,True,2022-03-08,contest_scope,"V24 declared floor: national vote share >= 1.0%p (uniform rule, replaces per-election exclusions)"
pres_2022,C,True,2022-03-08,contest_scope,"V24 declared floor: national vote share >= 1.0%p (uniform rule, replaces per-election exclusions)"
