election_id,region_id,region_name,province,slot,candidate_name,party_name,is_active_slot,votes,vote_share
pres_2002,sido_11,서울특별시,서울특별시,A,노무현,새천년민주당,True,2792957.0,0.513035
pres_2002,sido_11,서울특별시,서울특별시,B,이회창,한나라당,True,2447376.0,0.449556
pres_2002,sido_11,서울특별시,서울특별시,C,권영길,민주노동당,True,179790.0,0.033025
pres_2002,sido_11,서울특별시,서울특별시,alpha,기타후보 합산,,True,23867.0,0.004384
pres_2002,sido_26,부산광역시,부산광역시,A,노무현,새천년민주당,True,587946.0,0.298587
pres_2002,sido_26,부산광역시,부산광역시,B,이회창,한나라당,True,1314274.0,0.667451
pres_2002,sido_26,부산광역시,부산광역시,C,권영길,민주노동당,True,61281.0,0.031121
pres_2002,sido_26,부산광역시,부산광역시,alpha,기타후보 합산,,True,5592.0,0.00284
pres_2002,sido_27,대구광역시,대구광역시,A,노무현,새천년민주당,True,240745.0,0.186782
pres_2002,sido_27,대구광역시,대구광역시,B,이회창,한나라당,True,1002164.0,0.777529
pres_2002,sido_27,대구광역시,대구광역시,C,권영길,민주노동당,True,42174.0,0.032721
pres_2002,sido_27,대구광역시,대구광역시,alpha,기타후보 합산,,True,3826.0,0.002968
pres_2002,sido_28,인천광역시,인천광역시,A,노무현,새천년민주당,True,611766.0,0.498255
pres_2002,sido_28,인천광역시,인천광역시,B,이회창,한나라당,True,547205.0,0.445673
pres_2002,sido_28,인천광역시,인천광역시,C,권영길,민주노동당,True,61655.0,0.050215
pres_2002,sido_28,인천광역시,인천광역시,alpha,기타후보 합산,,True,7190.0,0.005856
pres_2002,sido_29,광주광역시,광주광역시,A,노무현,새천년민주당,True,715182.0,0.951779
pres_2002,sido_29,광주광역시,광주광역시,B,이회창,한나라당,True,26869.0,0.035758
pres_2002,sido_29,광주광역시,광주광역시,C,권영길,민주노동당,True,7243.0,0.009639
pres_2002,sido_29,광주광역시,광주광역시,alpha,기타후보 합산,,True,2122.0,0.002824
pres_2002,sido_30,대전광역시,대전광역시,A,노무현,새천년민주당,True,369046.0,0.550942
pres_2002,sido_30,대전광역시,대전광역시,B,이회창,한나라당,True,266760.0,0.398241
pres_2002,sido_30,대전광역시,대전광역시,C,권영길,민주노동당,True,29728.0,0.04438
pres_2002,sido_30,대전광역시,대전광역시,alpha,기타후보 합산,,True,4312.0,0.006437
pres_2002,sido_31,울산광역시,울산광역시,A,노무현,새천년민주당,True,178584.0,0.352708
pres_2002,sido_31,울산광역시,울산광역시,B,이회창,한나라당,True,267737.0,0.528788
pres_2002,sido_31,울산광역시,울산광역시,C,권영길,민주노동당,True,57786.0,0.114129
pres_2002,sido_31,울산광역시,울산광역시,alpha,기타후보 합산,,True,2215.0,0.004375
pres_2002,sido_41,경기도,경기도,A,노무현,새천년민주당,True,2430193.0,0.506501
pres_2002,sido_41,경기도,경기도,B,이회창,한나라당,True,2120191.0,0.44189
pres_2002,sido_41,경기도,경기도,C,권영길,민주노동당,True,209346.0,0.043632
pres_2002,sido_41,경기도,경기도,alpha,기타후보 합산,,True,38276.0,0.007977
pres_2002,sido_42,강원특별자치도,강원특별자치도,A,노무현,새천년민주당,True,316722.0,0.415135
pres_2002,sido_42,강원특별자치도,강원특별자치도,B,이회창,한나라당,True,400405.0,0.524821
pres_2002,sido_42,강원특별자치도,강원특별자치도,C,권영길,민주노동당,True,38722.0,0.050754
pres_2002,sido_42,강원특별자치도,강원특별자치도,alpha,기타후보 합산,,True,7088.0,0.00929
pres_2002,sido_43,충청북도,충청북도,A,노무현,새천년민주당,True,365623.0,0.504195
pres_2002,sido_43,충청북도,충청북도,B,이회창,한나라당,True,311044.0,0.42893
pres_2002,sido_43,충청북도,충청북도,C,권영길,민주노동당,True,41731.0,0.057547
pres_2002,sido_43,충청북도,충청북도,alpha,기타후보 합산,,True,6764.0,0.009328
pres_2002,sido_44,충청남도,충청남도,A,노무현,새천년민주당,True,474531.0,0.521567
pres_2002,sido_44,충청남도,충청남도,B,이회창,한나라당,True,375110.0,0.412291
pres_2002,sido_44,충청남도,충청남도,C,권영길,민주노동당,True,49579.0,0.054493
pres_2002,sido_44,충청남도,충청남도,alpha,기타후보 합산,,True,10598.0,0.011648
pres_2002,sido_45,전북특별자치도,전북특별자치도,A,노무현,새천년민주당,True,966053.0,0.915864
pres_2002,sido_45,전북특별자치도,전북특별자치도,B,이회창,한나라당,True,65334.0,0.06194
pres_2002,sido_45,전북특별자치도,전북특별자치도,C,권영길,민주노동당,True,14904.0,0.01413
pres_2002,sido_45,전북특별자치도,전북특별자치도,alpha,기타후보 합산,,True,8509.0,0.008067
pres_2002,sido_46,전라남도,전라남도,A,노무현,새천년민주당,True,1070506.0,0.933863
pres_2002,sido_46,전라남도,전라남도,B,이회창,한나라당,True,53074.0,0.046299
pres_2002,sido_46,전라남도,전라남도,C,권영길,민주노동당,True,12215.0,0.010656
pres_2002,sido_46,전라남도,전라남도,alpha,기타후보 합산,,True,10525.0,0.009182
pres_2002,sido_47,경상북도,경상북도,A,노무현,새천년민주당,True,311358.0,0.216531
pres_2002,sido_47,경상북도,경상북도,B,이회창,한나라당,True,1056446.0,0.734695
pres_2002,sido_47,경상북도,경상북도,C,권영길,민주노동당,True,62522.0,0.04348
pres_2002,sido_47,경상북도,경상북도,alpha,기타후보 합산,,True,7612.0,0.005294
pres_2002,sido_48,경상남도,경상남도,A,노무현,새천년민주당,True,434642.0,0.270848
pres_2002,sido_48,경상남도,경상남도,B,이회창,한나라당,True,1083564.0,0.675225
pres_2002,sido_48,경상남도,경상남도,C,권영길,민주노동당,True,79853.0,0.049761
pres_2002,sido_48,경상남도,경상남도,alpha,기타후보 합산,,True,6685.0,0.004166
pres_2002,sido_50,제주특별자치도,제주특별자치도,A,노무현,새천년민주당,True,148423.0,0.560512
pres_2002,sido_50,제주특별자치도,제주특별자치도,B,이회창,한나라당,True,105744.0,0.399337
pres_2002,sido_50,제주특별자치도,제주특별자치도,C,권영길,민주노동당,True,8619.0,0.032549
pres_2002,sido_50,제주특별자치도,제주특별자치도,alpha,기타후보 합산,,True,2013.0,0.007602
pres_2007,sido_11,서울특별시,서울특별시,A,이명박,한나라당,True,2689162.0,0.532363
pres_2007,sido_11,서울특별시,서울특별시,B,정동영,대통합민주신당,True,1237812.0,0.245045
pres_2007,sido_11,서울특별시,서울특별시,C,이회창,무소속,True,596226.0,0.118033
pres_2007,sido_11,서울특별시,서울특별시,alpha,기타후보 합산,,True,528169.0,0.10456
pres_2007,sido_26,부산광역시,부산광역시,A,이명박,한나라당,True,1018715.0,0.579061
pres_2007,sido_26,부산광역시,부산광역시,B,정동영,대통합민주신당,True,236708.0,0.13455
pres_2007,sido_26,부산광역시,부산광역시,C,이회창,무소속,True,346319.0,0.196856
pres_2007,sido_26,부산광역시,부산광역시,alpha,기타후보 합산,,True,157510.0,0.089532
pres_2007,sido_27,대구광역시,대구광역시,A,이명박,한나라당,True,876719.0,0.693784
pres_2007,sido_27,대구광역시,대구광역시,B,정동영,대통합민주신당,True,75932.0,0.060088
pres_2007,sido_27,대구광역시,대구광역시,C,이회창,무소속,True,228199.0,0.180583
pres_2007,sido_27,대구광역시,대구광역시,alpha,기타후보 합산,,True,82828.0,0.065545
pres_2007,sido_28,인천광역시,인천광역시,A,이명박,한나라당,True,593283.0,0.492205
pres_2007,sido_28,인천광역시,인천광역시,B,정동영,대통합민주신당,True,286565.0,0.237743
pres_2007,sido_28,인천광역시,인천광역시,C,이회창,무소속,True,183057.0,0.15187
pres_2007,sido_28,인천광역시,인천광역시,alpha,기타후보 합산,,True,142452.0,0.118182
pres_2007,sido_29,광주광역시,광주광역시,A,이명박,한나라당,True,56875.0,0.085972
pres_2007,sido_29,광주광역시,광주광역시,B,정동영,대통합민주신당,True,527588.0,0.7975
pres_2007,sido_29,광주광역시,광주광역시,C,이회창,무소속,True,22520.0,0.034041
