election_id,slot,candidate_name,bloc,same_bloc_issue_alignment,same_bloc_frame_convergence,cross_bloc_attack_pressure,intra_bloc_conflict_score,party_elite_support_score,party_elite_fragmentation_score,party_context_support,organization_strength,outsider_status,available_date,confidence,notes
pres_2002,A,노무현,더불어민주당,0.6660463650822599,0.7015724094556035,0.0822675,0.12353958361014858,0.4972823343039825,0.1049671459855817,0.3923151883184008,0.95,0.050000000000000044,2002-12-18,0.6418088785391344,Derived from candidate_issue_link plus 15th-22nd Assembly speaker/member-history issue posture; no transcript reprocessing
pres_2002,B,이회창,국민의힘,0.8481000610813471,0.7094264436294644,0.194145,0.06300672969045211,0.6378927954969139,0.1220189513297486,0.5158738441671653,0.95,0.050000000000000044,2002-12-18,0.685122970796151,Derived from candidate_issue_link plus 15th-22nd Assembly speaker/member-history issue posture; no transcript reprocessing
pres_2002,C,권영길,진보정당계,0.0,0.0,0.0,0.276173965187404,0.0,0.16775,-0.16775,0.26173965187403997,0.73826034812596,2002-12-18,0.305,Derived from candidate_issue_link plus 15th-22nd Assembly speaker/member-history issue posture; no transcript reprocessing
pres_2007,A,이명박,국민의힘,0.7466942888696014,0.681796213394593,0.34881,0.09672414895085753,0.5460842939695535,0.2101627819229716,0.3359215120465818,0.95,0.050000000000000044,2007-12-18,0.6382145974188906,Derived from candidate_issue_link plus 15th-22nd Assembly speaker/member-history issue posture; no transcript reprocessing
pres_2007,B,정동영,더불어민주당,0.736023455722566,0.6802294262834976,0.0827925,0.1002722009722468,0.538696825489237,0.0924063355347357,0.4462904899545012,0.95,0.050000000000000044,2007-12-18,0.6374117917362292,Derived from candidate_issue_link plus 15th-22nd Assembly speaker/member-history issue posture; no transcript reprocessing
pres_2007,C,이회창,무소속,0.8565386234529875,0.1352218934911242,0.157065,0.22003172226871814,0.3583915153431093,0.191696697247795,0.1666948180953143,0.15,0.85,2007-12-18,0.5715296181817219,Derived from candidate_issue_link plus 15th-22nd Assembly speaker/member-history issue posture; no transcript reprocessing
pres_2012,A,박근혜,국민의힘,0.4685790561444284,0.6816479439511173,0.0642075,0.18919746383197755,0.3420806843191286,0.1329519801075876,0.2091287042115409,0.95,0.050000000000000044,2012-12-18,0.58051192773374,Derived from candidate_issue_link plus 15th-22nd Assembly speaker/member-history issue posture; no transcript reprocessing
pres_2012,B,문재인,더불어민주당,0.5995578996348878,0.6826502707248128,0.0848925,0.1456469983713998,0.438152401048107,0.1183074741042699,0.3198449269438371,0.95,0.050000000000000044,2012-12-18,0.6076785702182397,Derived from candidate_issue_link plus 15th-22nd Assembly speaker/member-history issue posture; no transcript reprocessing
pres_2017,A,문재인,더불어민주당,0.902315981802006,0.684380938217922,0.3569475,0.04497993605083301,0.6644937055540727,0.1853653398279582,0.4791283657261145,0.95,0.050000000000000044,2017-05-08,0.6769810535032583,Derived from candidate_issue_link plus 15th-22nd Assembly speaker/member-history issue posture; no transcript reprocessing
pres_2017,B,홍준표,국민의힘,0.8440324704204831,0.6838287342518528,0.3285975,0.06435920358518937,0.6212663186719868,0.1832664369718541,0.4379998817001326,0.95,0.050000000000000044,2017-05-08,0.6648779226555253,Derived from candidate_issue_link plus 15th-22nd Assembly speaker/member-history issue posture; no transcript reprocessing
pres_2017,C,안철수,제3지대,0.8384786592308773,0.671710711990311,0.09267745496511666,0.13391204377277702,0.5289459205047249,0.1153617148588336,0.4135842056458912,0.6000384446357001,0.3999615553642999,2017-05-08,0.6189457318461755,Derived from candidate_issue_link plus 15th-22nd Assembly speaker/member-history issue posture; no transcript reprocessing
pres_2022,A,윤석열,국민의힘,0.4502133757061111,0.6772719534037209,0.3276,0.19530405257771807,0.3289846545221653,0.2548372289177449,0.0741474256044203,0.95,0.050000000000000044,2022-03-08,0.5791061192499836,Derived from candidate_issue_link plus 15th-22nd Assembly speaker/member-history issue posture; no transcript reprocessing
pres_2022,B,이재명,더불어민주당,0.6520038945199899,0.6848419538388475,0.3848250000000001,0.12820870507210336,0.4804850501932522,0.2436860377896569,0.2367990124035953,0.95,0.050000000000000044,2022-03-08,0.6276213227106444,Derived from candidate_issue_link plus 15th-22nd Assembly speaker/member-history issue posture; no transcript reprocessing
