election_id,issue_name,period,raw_value,salience_score,instrument,available_date
pres_2002,candidate_competence,2002-09-16,2.5500000000000003,0.0027,assembly_speech,2002-09-22
pres_2002,candidate_competence,2002-09-23,258.0749999999979,0.271,assembly_speech,2002-09-29
pres_2002,candidate_competence,2002-09-30,263.974999999998,0.2772,assembly_speech,2002-10-06
pres_2002,candidate_competence,2002-10-07,18.825000000000003,0.0198,assembly_speech,2002-10-13
pres_2002,candidate_competence,2002-10-14,5.949999999999998,0.0062,assembly_speech,2002-10-20
pres_2002,candidate_competence,2002-10-21,77.69999999999993,0.0816,assembly_speech,2002-10-27
pres_2002,candidate_competence,2002-10-28,40.15000000000008,0.0422,assembly_speech,2002-11-03
pres_2002,candidate_competence,2002-11-04,16.799999999999994,0.0176,assembly_speech,2002-11-10
pres_2002,corruption_integrity,2002-09-16,1.85,0.0019,assembly_speech,2002-09-22
pres_2002,corruption_integrity,2002-09-23,707.8250000000113,0.7433,assembly_speech,2002-09-29
pres_2002,corruption_integrity,2002-09-30,681.450000000012,0.7156,assembly_speech,2002-10-06
pres_2002,corruption_integrity,2002-10-07,70.3,0.0738,assembly_speech,2002-10-13
pres_2002,corruption_integrity,2002-10-14,15.274999999999991,0.016,assembly_speech,2002-10-20
pres_2002,corruption_integrity,2002-10-21,200.52499999999893,0.2106,assembly_speech,2002-10-27
pres_2002,corruption_integrity,2002-10-28,123.3499999999997,0.1295,assembly_speech,2002-11-03
pres_2002,corruption_integrity,2002-11-04,24.35000000000002,0.0256,assembly_speech,2002-11-10
pres_2002,corruption_integrity,2002-11-11,4.6,0.0048,assembly_speech,2002-11-17
pres_2002,economy_growth,2002-09-16,6.099999999999999,0.0064,assembly_speech,2002-09-22
pres_2002,economy_growth,2002-09-23,866.4500000000269,0.9098,assembly_speech,2002-09-29
pres_2002,economy_growth,2002-09-30,952.300000000032,1.0,assembly_speech,2002-10-06
pres_2002,economy_growth,2002-10-07,26.45000000000002,0.0278,assembly_speech,2002-10-13
pres_2002,economy_growth,2002-10-14,22.55000000000001,0.0237,assembly_speech,2002-10-20
pres_2002,economy_growth,2002-10-21,418.3500000000045,0.4393,assembly_speech,2002-10-27
pres_2002,economy_growth,2002-10-28,212.9499999999989,0.2236,assembly_speech,2002-11-03
pres_2002,economy_growth,2002-11-04,108.39999999999978,0.1138,assembly_speech,2002-11-10
pres_2002,economy_growth,2002-11-11,5.6,0.0059,assembly_speech,2002-11-17
pres_2002,education,2002-09-16,0.7,0.0007,assembly_speech,2002-09-22
pres_2002,education,2002-09-23,495.250000000009,0.5201,assembly_speech,2002-09-29
pres_2002,education,2002-09-30,665.5500000000175,0.6989,assembly_speech,2002-10-06
pres_2002,education,2002-10-07,7.049999999999997,0.0074,assembly_speech,2002-10-13
pres_2002,education,2002-10-14,12.549999999999994,0.0132,assembly_speech,2002-10-20
pres_2002,education,2002-10-21,187.59999999999835,0.197,assembly_speech,2002-10-27
pres_2002,education,2002-10-28,131.64999999999924,0.1382,assembly_speech,2002-11-03
pres_2002,education,2002-11-04,27.000000000000032,0.0284,assembly_speech,2002-11-10
pres_2002,education,2002-11-11,1.75,0.0018,assembly_speech,2002-11-17
pres_2002,endorsement_event,2002-09-16,2.4000000000000004,0.0025,assembly_speech,2002-09-22
pres_2002,endorsement_event,2002-09-23,148.14999999999898,0.1556,assembly_speech,2002-09-29
pres_2002,endorsement_event,2002-09-30,175.44999999999874,0.1842,assembly_speech,2002-10-06
pres_2002,endorsement_event,2002-10-07,10.199999999999996,0.0107,assembly_speech,2002-10-13
pres_2002,endorsement_event,2002-10-14,9.749999999999996,0.0102,assembly_speech,2002-10-20
pres_2002,endorsement_event,2002-10-21,66.27500000000015,0.0696,assembly_speech,2002-10-27
pres_2002,endorsement_event,2002-10-28,40.05000000000008,0.0421,assembly_speech,2002-11-03
pres_2002,endorsement_event,2002-11-04,13.34999999999999,0.014,assembly_speech,2002-11-10
pres_2002,endorsement_event,2002-11-11,0.35,0.0004,assembly_speech,2002-11-17
pres_2002,external_shock,2002-09-16,1.7,0.0018,assembly_speech,2002-09-22
pres_2002,external_shock,2002-09-23,137.0999999999996,0.144,assembly_speech,2002-09-29
pres_2002,external_shock,2002-09-30,124.64999999999976,0.1309,assembly_speech,2002-10-06
pres_2002,external_shock,2002-10-07,13.049999999999995,0.0137,assembly_speech,2002-10-13
