issue_name,region_id,sensitivity
jobs_labor,sido_11,0.3
jobs_labor,sido_26,0.5
jobs_labor,sido_27,0.3
jobs_labor,sido_28,0.3
jobs_labor,sido_29,0.3
jobs_labor,sido_30,0.3
jobs_labor,sido_31,0.8
jobs_labor,sido_36,0.3
jobs_labor,sido_41,0.4
jobs_labor,sido_42,0.3
jobs_labor,sido_43,0.3
jobs_labor,sido_44,0.3
jobs_labor,sido_45,0.3
jobs_labor,sido_46,0.3
jobs_labor,sido_47,0.4
jobs_labor,sido_48,0.6
jobs_labor,sido_50,0.3
housing,sido_11,0.9
housing,sido_26,0.3
housing,sido_27,0.3
housing,sido_28,0.6
housing,sido_29,0.3
housing,sido_30,0.4
housing,sido_31,0.3
housing,sido_36,0.3
housing,sido_41,0.7
housing,sido_42,0.3
housing,sido_43,0.3
housing,sido_44,0.3
housing,sido_45,0.3
housing,sido_46,0.3
housing,sido_47,0.3
housing,sido_48,0.3
housing,sido_50,0.3
security_nk,sido_11,0.3
security_nk,sido_26,0.3
security_nk,sido_27,0.3
security_nk,sido_28,0.4
security_nk,sido_29,0.3
security_nk,sido_30,0.3
security_nk,sido_31,0.3
security_nk,sido_36,0.3
security_nk,sido_41,0.3
security_nk,sido_42,0.6
security_nk,sido_43,0.3
security_nk,sido_44,0.3
security_nk,sido_45,0.3
security_nk,sido_46,0.3
security_nk,sido_47,0.3
security_nk,sido_48,0.3
security_nk,sido_50,0.3
regional_dev,sido_11,0.3
regional_dev,sido_26,0.5
regional_dev,sido_27,0.3
regional_dev,sido_28,0.3
regional_dev,sido_29,0.5
regional_dev,sido_30,0.8
regional_dev,sido_31,0.3
regional_dev,sido_36,0.9
regional_dev,sido_41,0.3
regional_dev,sido_42,0.5
regional_dev,sido_43,0.7
regional_dev,sido_44,0.9
regional_dev,sido_45,0.5
regional_dev,sido_46,0.5
regional_dev,sido_47,0.3
regional_dev,sido_48,0.5
regional_dev,sido_50,0.5
