election_id,slot,candidate_name,serious_contender_score,legitimacy_score,negative_treatment_score,scandal_salience_score,fatigue_score,alternative_score,protest_vote_score,ridicule_or_gaffe_score,same_party_supportive_tone,cross_party_adverse_tone,party_tone_contrast,party_tone_confidence,public_treatment_support,public_treatment_support_centered,available_date,confidence,notes
pres_2002,A,노무현,0.7634630376636802,0.8409630376636801,0.211677582793655,0.4237425635478637,0.21187128177393186,0.4330927835051547,0.2578885309278351,0.0546991353006686,1.0,0.0,-1.0,0.7629498099570067,1.2085399585651977,0.5263059510262165,2002-12-18,0.85,Assembly issue-link plus speaker/member-history treatment proxy; not news or polling
pres_2002,B,이회창,0.7564046756706351,0.6534621523799355,0.5452787902659497,1.0,0.5948087108231043,0.4089690721649485,0.23168298969072168,0.07880758053189944,0.0,1.0,-0.3012973804662404,0.7339304132286398,0.6610160140517461,-0.021217993487235076,2002-12-18,0.85,Assembly issue-link plus speaker/member-history treatment proxy; not news or polling
pres_2002,C,권영길,0.1782,0.0,0.03355,0.0,0.0,0.09981749999999998,0.054899624999999994,0.0671,0.0,0.0,0.0,0.0,0.17714604999999997,-0.5050879575389813,2002-12-18,0.56,Assembly issue-link plus speaker/member-history treatment proxy; not news or polling
pres_2007,A,이명박,0.7521843024093164,0.7201843024093164,0.8420325563845944,1.0,1.0,0.07219987021414664,0.05118492861778066,0.11406511276918865,0.0,1.0,-1.0,0.8427100375469336,0.14045624521498162,-0.30176848791080346,2007-12-18,0.85,Assembly issue-link plus speaker/member-history treatment proxy; not news or polling
pres_2007,B,정동영,0.7328579468954582,0.5982579091215978,0.27666692333813314,0.23735701384708005,0.27863313771202564,0.46,0.25755625000000004,0.044083244629306684,0.0,0.7918356264435583,-0.6172656194013799,0.7341896954314721,0.9698430484410547,0.5276183153152696,2007-12-18,0.85,Assembly issue-link plus speaker/member-history treatment proxy; not news or polling
pres_2007,C,이회창,0.22041268560344968,0.15811861609954636,0.15334535991915563,0.2555689343768814,0.1277844671884407,0.3008530544289423,0.16546917993591825,0.2070188354313275,0.0,0.0,-0.0398427031557611,0.7,0.216374905721319,-0.22584982740446607,2007-12-18,0.6051393916754987,Assembly issue-link plus speaker/member-history treatment proxy; not news or polling
pres_2012,A,박근혜,0.7268257408423082,0.8418257408423082,0.36694290065973645,0.756338899196042,0.378169449598021,0.03197149643705463,0.04008432304038005,0.0758709590189163,1.0,0.0,-1.0,0.779644055858394,0.7975369552711925,0.07922133130164277,2012-12-18,0.85,Assembly issue-link plus speaker/member-history treatment proxy; not news or polling
pres_2012,B,문재인,0.5999804189859529,0.6777332773852492,0.473661494820854,1.0,0.5,0.46,0.2755000000000001,0.07732298964170796,0.978287461473086,0.0,0.3186267428352475,0.7903209302325581,0.639094292667907,-0.07922133130164277,2012-12-18,0.85,Assembly issue-link plus speaker/member-history treatment proxy; not news or polling
pres_2017,A,문재인,0.780825673145223,0.895825673145223,0.48707306796559163,1.0,0.5,0.46,0.2755000000000001,0.10414613593118328,1.0,0.0,1.0,0.8416794481275757,0.9320187818805284,0.3455067778073968,2017-05-08,0.85,Assembly issue-link plus speaker/member-history treatment proxy; not news or polling
pres_2017,B,홍준표,0.7470116151932573,0.5556145249065649,0.8009127373134766,0.9205765553757906,0.941832803758492,0.41601728723404263,0.22880950797872346,0.10092387145001536,0.0,1.0,-0.2703864563271651,0.85,0.25196124944659554,-0.3345507546265361,2017-05-08,0.85,Assembly issue-link plus speaker/member-history treatment proxy; not news or polling
pres_2017,C,안철수,0.45268153946037215,0.23579771404317057,0.11070287687381117,0.19473451978232098,0.09736725989116049,0.2939378989361702,0.16166584441489365,0.09288097069129048,0.0201825754987749,0.0,0.0431643382776237,0.7,0.5755559808922711,-0.01095602318086053,2017-05-08,0.7216452280516856,Assembly issue-link plus speaker/member-history treatment proxy; not news or polling
pres_2022,A,윤석열,0.6998294851208842,0.8148294851208842,0.5495506654288423,0.8512960436562074,0.5906480218281037,0.46,0.2755000000000001,0.12747377287678419,1.0,0.0,-0.0487770309088379,0.8169686240497933,0.7097342800637036,0.39857620235635427,2022-03-08,0.85,Assembly issue-link plus speaker/member-history treatment proxy; not news or polling
pres_2022,B,이재명,0.6455201239139953,0.5648102042723143,0.8487372075579315,1.0,0.994898219478598,0.02765634395670475,0.024660989176187614,0.12747441511586277,0.0,1.0,1.0,0.8341976186794495,-0.08741812464900495,-0.3985762023563543,2022-03-08,0.85,Assembly issue-link plus speaker/member-history treatment proxy; not news or polling
pres_2025,A,이재명,0.6387668765141463,0.7245033545407323,0.7555473543629535,0.8308141417269093,0.8426120459600357,0.3808097960446497,0.2319453878245573,0.1455799352398959,1.0,0.0,0.1883017319758351,0.8086697107367328,0.2941298493490775,-0.0288239885661625,2025-06-02,0.85,Assembly issue-link plus speaker/member-history treatment proxy; not news or polling
pres_2025,B,김문수,0.6697418050402963,0.7680372912611297,0.7829197484718238,0.8263141166827211,0.9131570583413606,0.46,0.2755000000000001,0.1469462154296801,0.0,0.0,-1.0,0.822477044727968,0.3362685042126971,0.013314666297457,2025-06-02,0.85,Assembly issue-link plus speaker/member-history treatment proxy; not news or polling
pres_2025,C,이준석,0.5800000000000001,0.5,0.5490239088687686,1.0,0.5,0.4806448534787417,0.2643546694133079,0.4380478177375371,0.0,0.0,0.0,0.7885652519281351,0.3384631601839454,0.0155093222687054,2025-06-02,0.7688783236114091,Assembly issue-link plus speaker/member-history treatment proxy; not news or polling
